TIC,RAdeg,DEdeg,Tmag,bjd0,Per,morph_coeff
0004206238, 80.879210, -1.073250, 9.90, 1483.133596, 14.9741075, 0.267,
0004254645, 81.119240, -2.397139, 8.08, 1468.263848, 4.0387948, 0.535,
0011286209, 84.696688, -2.594587, 6.85, 1468.138678, 1.1909336, 0.572,
0042991745, 97.084832, -0.729366, 7.27, 1469.072610, 1.4218117, 0.502,
0050743469, 83.001666, -0.299087, 8.73, 1473.363685, 5.7344094, 0.574,
0050897998, 83.381030, -1.156072, 5.61, 1468.451199, 1.4853749, 0.621,
0059091000, 74.747543, 14.543250, 6.02, 1434.151256, 14.7894291, 0.238,
0072782654, 85.792594, -0.687443, 9.82, 1471.238010, 6.6314323, 0.215,
0138857475, 82.767483, 1.187649, 9.55, 1543.813456, 12.9392878, 0.156,
0140346195, 90.064822, 8.956175, 7.62, 1468.787188, 1.7290744, 0.412,
0144695651, 84.943984, 8.184094, 10.57, 1473.306405, 5.2978379, 0.352,
0156241056, 86.412746, 11.326586, 9.57, 1469.565530, 1.7801492, 0.507,
0156577475, 90.823631, 11.136046, 8.21, 1468.671245, 3.1257385, 0.389,
0176406202, 86.545963, -2.491210, 10.91, 1468.623835, 1.5144824, 0.452,
0206856569, 96.958433, 10.696697, 8.39, 1475.637277, 8.0171338, 0.327,
0213067604, 75.515526, -2.802081, 10.57, 1438.105658, 0.3219872, 0.728,
0220082557, 98.748124, 11.284943, 11.22, 1469.967693, 2.2570772, 0.525,
0220315592, 100.138307, 10.376233, 12.17, 1469.770428, 1.9711998, 0.426,
0229082842, 68.900654, -0.874105, 12.02, 1438.339529, 0.3762035, 0.692,
0232185093, 91.381273, 5.966188, 11.13, 1471.545463, 4.4691554, 0.185,
0234211934, 101.666801, 1.154377, 11.44, 1468.811066, 1.0649345, 0.489,
0234840976, 98.002534, 4.878022, 8.48, 1468.350390, 2.4085455, 0.585,
0234874474, 98.090333, 1.327489, 11.43, 1469.251928, 1.3159894, 0.641,
0234933888, 98.462321, 4.525449, 6.69, 1472.988982, 6.9113490, 0.308,
0245863693, 68.680565, 15.265093, 11.19, 1439.004233, 1.0774030, 0.487,
0245950209, 70.519439, 14.326505, 8.34, 1438.832307, 0.9931781, 0.909,
0248399337, 76.758799, -0.792400, 9.81, 1438.165602, 0.4319151, 0.920,
0248403190, 76.944382, -2.743958, 11.04, 1439.253716, 1.5509572, 0.538,
0250195155, 65.170708, -1.739823, 8.06, 1445.157918, 6.4763980, 0.244,
0250196734, 65.218471, -2.625420, 11.09, 1439.871848, 7.7039539, 0.103,
0262412046, 69.276486, 1.691988, 10.56, 1438.396723, 2.0433617, 0.563,
0262434790, 73.495466, 4.020378, 11.70, 1438.174967, 0.3143965, 0.751,
0262465161, 73.893056, 1.380435, 10.14, 1438.874502, 0.9509325, 0.641,
0264537668, 81.520205, 4.859835, 11.61, 1473.158351, 4.0307037, 0.253,
0264540478, 81.709288, 3.095672, 4.91, 1469.689648, 2.5263921, 0.805,
0264592553, 80.708353, 3.544438, 5.15, 1473.083787, 4.5552015, 0.329,
0264594193, 80.773061, 1.056917, 7.70, 1468.063257, 2.2289026, 0.481,
0264594607, 80.758159, 0.439070, 8.42, 1468.200235, 0.8168185, 0.756,
0264679887, 82.114993, 1.300251, 10.31, 1475.757475, 13.7854520, 0.266,
0269077015, 75.408173, 2.907003, 8.21, 1438.212718, 4.1437883, 0.657,
0269078565, 75.566937, 0.890407, 11.98, 1440.562747, 2.4555486, 0.526,
0282270717, 89.601847, 1.837109, 5.71, 1470.401917, 2.7405123, 0.636,
0284703623, 67.354074, 9.091678, 12.02, 1438.303674, 0.3879463, 0.831,
0284863911, 77.125542, 11.529269, 11.88, 1438.136851, 0.3427999, 0.887,
0284909275, 82.374954, 6.414364, 10.92, 1470.145721, 4.5972204, 0.385,
0291385340, 94.363959, 11.004862, 10.51, 1468.065925, 15.7196245, 0.093,
0301485937, 100.285462, 5.608586, 11.05, 1477.055063, 10.6546526, 0.329,
0303682287, 75.762962, 14.765699, 8.48, 1440.500340, 2.1084547, 0.764,
0309908721, 85.701262, 11.116313, 12.48, 1468.979102, 2.8338351, 0.532,
0345482340, 68.518425, 8.733890, 12.39, 1438.288011, 0.3650700, 0.746,
0345535359, 69.595654, 10.442620, 11.99, 1438.184996, 0.4247954, 0.875,
0365570620, 81.294792, 7.951694, 10.49, 1470.743340, 0.8583147, 0.527,
0365694569, 81.635102, 9.691516, 8.55, 1474.464462, 9.0349680, 0.222,
0373364179, 70.835058, 6.157615, 12.02, 1438.877749, 3.7476127, 0.259,
0373414766, 71.085083, 9.684326, 8.73, 1438.041172, 0.6851178, 0.691,
